census_tract,rank,lat,lon
27073180300,1,44.951326,-95.95438141
32011000100,2,40.080676,-116.2195491
27073180200,3,45.0371145,-96.3395043
5119002800,4,34.7686875,-92.23980316
48113004100,5,32.7521025,-96.80067091
39061004702,6,39.106517,-84.41882184
6071008404,7,34.0592875,-117.1651136
48201533701,8,29.9271775,-95.43203669
48201233600,9,29.7502695,-95.25960194
6071012500,10,34.059869,-117.3220276
1097001200,11,30.7008155,-88.02423256
48201331200,12,29.6638145,-95.3705729
22071001751,13,30.034679,-89.88516856
39061026300,14,39.1085095,-84.5424903
22055000700,15,30.241715,-92.05265651
6071007107,16,34.0338915,-117.3290263
48209010304,17,29.9164235,-97.90335824
48201212500,18,29.751254,-95.27430654
48201453300,19,29.6630255,-95.56386384
48201211100,20,29.7851275,-95.33098723
1073001902,21,33.5541595,-86.74437924
48201530300,22,29.817758,-95.38836053
6071012400,23,34.077547,-117.2917624
1073000500,24,33.5444345,-86.7766387
48201550100,25,29.9471555,-95.4246058
28049002700,26,32.296728,-90.17370966
48201222700,27,29.935265,-95.33920334
6047001601,28,37.2929805,-120.4776872
48201550200,29,29.956119,-95.42875266
6071007108,30,34.0546325,-117.3080116
48201220800,31,29.830246,-95.33872196
48201211300,32,29.77831,-95.32685602
37051003800,33,35.058331,-78.87807946
1073000800,34,33.553198,-86.83277153
48113020500,35,32.7824095,-96.86516095
48201312400,36,29.7303055,-95.36254273
5119002900,37,34.776817,-92.26741668
6047001005,38,37.317881,-120.5137621
1073000300,39,33.5432895,-86.74966655
48201211400,40,29.76515,-95.33103746
1097000402,41,30.7044245,-88.05164662
39061006100,42,39.1959745,-84.48544515
1073002900,43,33.511831,-86.8307383
19155031300,44,41.2359015,-95.88783918
22051027502,45,29.9261975,-90.25161135
42043021100,46,40.2970265,-76.88650912
28049003000,47,32.283512,-90.20082099
6013316000,48,38.0242685,-122.1376036
48201210900,49,29.804668,-95.33166849
39017014000,50,39.4871345,-84.42620265
22033000100,51,30.5042,-91.160881
48201313800,52,29.689114,-95.371147
17163504500,53,38.6197435,-90.17148652
47037019300,54,36.175376,-86.77595616
48201211000,55,29.79817,-95.33205352
48201312200,56,29.7330935,-95.34987377
22071013700,57,29.9946315,-90.03395327
48201230200,58,29.821689,-95.30692645
48201240600,59,29.955548,-95.40755339
42043021400,60,40.2471505,-76.86611624
48201550301,61,29.9816005,-95.42979811
28067950700,62,31.6897695,-89.11037951
40143005900,63,36.209533,-95.84202268
28049010203,64,32.3742695,-90.2266185
1073004200,65,33.4998075,-86.82686673
48201230900,66,29.8170915,-95.28091924
48201230100,67,29.814489,-95.32980781
1073003200,68,33.508944,-86.88743553
48201331300,69,29.64395,-95.37851271
6071004302,70,34.1139755,-117.3270448
48201533902,71,29.928467,-95.49906603
11001009602,72,38.9019165,-76.95285884
29189211401,73,38.799376,-90.42894196
47037015900,74,36.134511,-86.74021788
48201331700,75,29.645585,-95.32338905
48439101700,76,32.752664,-97.31255517
48201331100,77,29.67433,-95.36883264
47157022600,78,35.0230745,-89.90597656
6067005301,79,38.5914715,-121.4889789
48245002200,80,30.036265,-94.12848836
22033004014,81,30.3729855,-91.20223356
48113016605,82,32.636503,-96.85080268
47157022022,83,35.0488315,-89.99969825
28049002300,84,32.3162315,-90.24552527
47037010904,85,36.229176,-86.77637118
48201220100,86,29.8140105,-95.3436056
1073001500,87,33.529839,-86.81961046
29189213102,88,38.773183,-90.44236288
40101000400,89,35.769128,-95.36376502
1073013801,90,33.427408,-86.96125222
22071006900,91,29.951999,-90.09204503
6007001000,92,39.7290035,-121.8366855
22051028200,93,29.9310795,-90.1623553
