city,rank,lat,lon,description
Chicago,1,41.8373,-87.6862,"Ranks highly in: Household_Income: 99%, PM25: 99%, Diesel_Particulate: 99%"
Houston,2,29.7863,-95.3889,"Ranks highly in: Building_Loss_Rate: 99%, PM25: 99%, Household_Income: 99%"
Detroit,3,42.3834,-83.1024,"Ranks highly in: Asthma: 99%, Household_Income: 99%, PM25: 99%"
Louisville,4,38.1663,-85.6485,"Ranks highly in: Building_Loss_Rate: 99%, Agricultural_Loss_Rate: 99%, Asthma: 99%"
Phoenix,5,33.5722,-112.0891,"Ranks highly in: Asthma: 99%, Diesel_Particulate: 99%, Household_Income: 99%"
Brooklyn,6,40.6501,-73.9496,"Ranks highly in: Diesel_Particulate: 99%, Household_Income: 99%, Traffic_Proximity: 99%"
Dayton,7,39.7797,-84.1998,"Ranks highly in: Agricultural_Loss_Rate: 99%, PM25: 99%, Asthma: 99%"
Dallas,8,32.7936,-96.7662,"Ranks highly in: Building_Loss_Rate: 99%, PM25: 99%, Household_Income: 99%"
Queens,9,40.7498,-73.7976,"Ranks highly in: Diesel_Particulate: 99%, Traffic_Proximity: 99%, Household_Income: 99%"
Las Vegas,10,36.2333,-115.2654,"Ranks highly in: Asthma: 99%, Household_Income: 99%, Diesel_Particulate: 99%"
San Diego,11,32.8312,-117.1225,"Ranks highly in: PM25: 99%, Traffic_Proximity: 99%, Household_Income: 99%"
Miami,12,25.7839,-80.2102,"Ranks highly in: Diesel_Particulate: 99%, Building_Loss_Rate: 99%, Traffic_Proximity: 99%"
Columbus,13,39.9862,-82.985,"Ranks highly in: Agricultural_Loss_Rate: 99%, Building_Loss_Rate: 99%, Asthma: 99%"
Cleveland,14,41.4767,-81.6804,"Ranks highly in: Asthma: 99%, PM25: 99%, Household_Income: 98%"
Fayetteville,15,36.0713,-94.166,"Ranks highly in: Agricultural_Loss_Rate: 99%, Asthma: 99%, Building_Loss_Rate: 99%"
Indianapolis,16,39.7771,-86.1458,"Ranks highly in: Asthma: 99%, Household_Income: 98%, PM25: 98%"
Philadelphia,17,40.0077,-75.1339,"Ranks highly in: Asthma: 99%, Household_Income: 99%, PM25: 98%"
Riverside,18,33.9381,-117.3948,"Ranks highly in: PM25: 98%, Household_Income: 98%, Agricultural_Loss_Rate: 98%"
Cincinnati,19,39.1413,-84.5061,"Ranks highly in: Building_Loss_Rate: 98%, PM25: 98%, Asthma: 98%"
Kansas City,20,39.1239,-94.5541,"Ranks highly in: Building_Loss_Rate: 99%, Asthma: 99%, Agricultural_Loss_Rate: 99%"
Pittsburgh,21,40.4396,-79.9762,"Ranks highly in: PM25: 99%, Asthma: 98%, Household_Income: 98%"
Boston,22,42.3188,-71.0846,"Ranks highly in: Diesel_Particulate: 99%, Traffic_Proximity: 98%, Asthma: 98%"
Victorville,23,34.5277,-117.3536,"Ranks highly in: PM25: 98%, Asthma: 97%, Household_Income: 97%"
Round Lake Beach,24,42.379,-88.0811,"Ranks highly in: Agricultural_Loss_Rate: 98%, Household_Income: 98%, Building_Loss_Rate: 98%"
Fort Worth,25,32.7811,-97.3473,"Ranks highly in: Building_Loss_Rate: 99%, PM25: 98%, Household_Income: 98%"
Bronx,26,40.8501,-73.8662,"Ranks highly in: Asthma: 99%, Diesel_Particulate: 98%, Household_Income: 98%"
Tampa,27,27.9942,-82.4451,"Ranks highly in: Agricultural_Loss_Rate: 99%, Diesel_Particulate: 98%, Household_Income: 97%"
San Antonio,28,29.4658,-98.5253,"Ranks highly in: Building_Loss_Rate: 98%, PM25: 98%, Household_Income: 98%"
Oakland,29,37.7903,-122.2165,"Ranks highly in: PM25: 99%, Traffic_Proximity: 98%, Household_Income: 98%"
Memphis,30,35.1046,-89.9773,"Ranks highly in: Building_Loss_Rate: 98%, PM25: 98%, Asthma: 97%"
Orlando,31,28.4772,-81.3369,"Ranks highly in: PM25: 99%, Traffic_Proximity: 99%, Agricultural_Loss_Rate: 99%"
Sacramento,32,38.5667,-121.4683,"Ranks highly in: Agricultural_Loss_Rate: 98%, PM25: 98%, Asthma: 98%"
Seattle,33,47.6211,-122.3244,"Ranks highly in: Diesel_Particulate: 98%, Traffic_Proximity: 98%, Asthma: 97%"
Omaha,34,41.2627,-96.0522,"Ranks highly in: Building_Loss_Rate: 99%, Agricultural_Loss_Rate: 98%, PM25: 97%"
Fort Lauderdale,35,26.1412,-80.1464,"Ranks highly in: Diesel_Particulate: 98%, Traffic_Proximity: 98%, Household_Income: 97%"
South Lyon,36,42.4614,-83.6526,"Ranks highly in: Asthma: 98%, PM25: 97%, Building_Loss_Rate: 97%"
Rochester,37,43.168,-77.6162,"Ranks highly in: Agricultural_Loss_Rate: 99%, Asthma: 98%, Household_Income: 98%"
Des Moines,38,41.5725,-93.6105,"Ranks highly in: Building_Loss_Rate: 98%, Household_Income: 97%, Agricultural_Loss_Rate: 99%"
West Palm Beach,39,26.7468,-80.1316,"Ranks highly in: Building_Loss_Rate: 99%, Diesel_Particulate: 97%, Traffic_Proximity: 97%"
Milwaukee,40,43.0642,-87.9673,"Ranks highly in: Asthma: 98%, Household_Income: 98%, Traffic_Proximity: 98%"
Cambridge,41,42.3759,-71.1185,"Ranks highly in: Agricultural_Loss_Rate: 99%, Traffic_Proximity: 99%, Diesel_Particulate: 99%"
New York,42,40.6943,-73.9249,"Ranks highly in: Diesel_Particulate: 98%, Traffic_Proximity: 98%, Asthma: 97%"
San Jose,43,37.3019,-121.8486,"Ranks highly in: Traffic_Proximity: 98%, PM25: 98%, Household_Income: 97%"
Buffalo,44,42.9016,-78.8487,"Ranks highly in: Asthma: 98%, Household_Income: 97%, Traffic_Proximity: 97%"
Oklahoma City,45,35.4676,-97.5136,"Ranks highly in: Building_Loss_Rate: 98%, Asthma: 97%, Household_Income: 96%"
St. Louis,46,38.6358,-90.2451,"Ranks highly in: Building_Loss_Rate: 97%, Diesel_Particulate: 97%, PM25: 96%"
Atlanta,47,33.7627,-84.4224,"Ranks highly in: PM25: 97%, Diesel_Particulate: 96%, Building_Loss_Rate: 96%"
Minneapolis,48,44.9635,-93.2678,"Ranks highly in: Building_Loss_Rate: 98%, Diesel_Particulate: 97%, Traffic_Proximity: 97%"
Huntsville,49,34.6988,-86.6412,"Ranks highly in: Agricultural_Loss_Rate: 99%, Building_Loss_Rate: 98%, Asthma: 98%"
El Paso,50,31.8479,-106.4309,"Ranks highly in: Building_Loss_Rate: 97%, Household_Income: 97%, Agricultural_Loss_Rate: 96%"
Warren,51,42.4934,-83.027,"Ranks highly in: Asthma: 98%, PM25: 97%, Building_Loss_Rate: 97%"
Cape Coral,52,26.6446,-81.9956,"Ranks highly in: Building_Loss_Rate: 98%, Agricultural_Loss_Rate: 98%, Household_Income: 96%"
Muncie,53,40.1989,-85.395,"Ranks highly in: PM25: 97%, Asthma: 96%, Building_Loss_Rate: 96%"
Charlotte,54,35.208,-80.8304,"Ranks highly in: PM25: 97%, Diesel_Particulate: 96%, Household_Income: 95%"
Bowie,55,38.9569,-76.7409,"Ranks highly in: Diesel_Particulate: 97%, Household_Income: 96%, Traffic_Proximity: 96%"
Nashville,56,36.1715,-86.7843,"Ranks highly in: Building_Loss_Rate: 97%, Agricultural_Loss_Rate: 95%, Asthma: 95%"
Austin,57,30.3004,-97.7522,"Ranks highly in: Building_Loss_Rate: 97%, PM25: 97%, Household_Income: 95%"
Fresno,58,36.7831,-119.7941,"Ranks highly in: PM25: 97%, Agricultural_Loss_Rate: 97%, Asthma: 95%"
Concord,59,37.9722,-122.0016,"Ranks highly in: Agricultural_Loss_Rate: 99%, PM25: 98%, Traffic_Proximity: 97%"
DeKalb,60,41.9313,-88.7482,"Ranks highly in: PM25: 96%, Household_Income: 95%, Diesel_Particulate: 95%"
Baltimore,61,39.3051,-76.6144,"Ranks highly in: Diesel_Particulate: 96%, Asthma: 95%, Traffic_Proximity: 95%"
St. Petersburg,62,27.7931,-82.6652,"Ranks highly in: Traffic_Proximity: 96%, Diesel_Particulate: 96%, Household_Income: 96%"
Levittown,63,40.7241,-73.5125,"Ranks highly in: Diesel_Particulate: 98%, Traffic_Proximity: 98%, Asthma: 97%"
Salt Lake City,64,40.7777,-111.9306,"Ranks highly in: Asthma: 97%, Diesel_Particulate: 96%, Traffic_Proximity: 96%"
Naperville,65,41.7483,-88.1657,"Ranks highly in: PM25: 97%, Diesel_Particulate: 97%, Building_Loss_Rate: 95%"
Lexington,66,38.0423,-84.4587,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 97%, PM25: 97%"
Centreville,67,38.8391,-77.4388,"Ranks highly in: Diesel_Particulate: 97%, Traffic_Proximity: 96%, PM25: 95%"
Overland Park,68,38.887,-94.687,"Ranks highly in: Building_Loss_Rate: 97%, Agricultural_Loss_Rate: 95%, Diesel_Particulate: 94%"
Tulsa,69,36.1284,-95.9042,"Ranks highly in: PM25: 96%, Building_Loss_Rate: 96%, Asthma: 95%"
Hartford,70,41.7661,-72.6834,"Ranks highly in: Agricultural_Loss_Rate: 98%, Asthma: 97%, Household_Income: 95%"
Aurora,71,39.7087,-104.7273,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 97%, Household_Income: 96%"
Lancaster,72,40.0421,-76.3012,"Ranks highly in: Agricultural_Loss_Rate: 96%, PM25: 95%, Building_Loss_Rate: 95%"
