county_name,rank,lat,lon,description
Cook County,1,47.7460715,-90.34081521,"Ranks highly in: Household_Income: 100%, PM25: 99%, Diesel_Particulate: 99%"
Harris County,2,29.8339425,-95.38596726,"Ranks highly in: Building_Loss_Rate: 100%, PM25: 99%, Household_Income: 99%"
Wayne County,3,38.3299745,-110.9057583,"Ranks highly in: Asthma: 100%, Household_Income: 99%, PM25: 99%"
Jefferson County,4,44.60729,-121.0933272,"Ranks highly in: Agricultural_Loss_Rate: 99%, Building_Loss_Rate: 99%, Asthma: 99%"
Maricopa County,5,33.2767635,-112.7681238,"Ranks highly in: Asthma: 99%, Diesel_Particulate: 99%, Household_Income: 99%"
Kings County,6,36.139117,-119.7718425,"Ranks highly in: Diesel_Particulate: 99%, Household_Income: 99%, Traffic_Proximity: 99%"
Montgomery County,7,42.9098745,-74.41980607,"Ranks highly in: Agricultural_Loss_Rate: 100%, PM25: 99%, Asthma: 99%"
Dallas County,8,32.3883895,-87.127721,"Ranks highly in: Building_Loss_Rate: 99%, PM25: 99%, Household_Income: 99%"
Queens County,9,40.6510085,-73.79304414,"Ranks highly in: Diesel_Particulate: 99%, Traffic_Proximity: 99%, Household_Income: 99%"
Clark County,10,35.9270635,-115.2532083,"Ranks highly in: Asthma: 99%, Household_Income: 99%, Diesel_Particulate: 99%"
San Diego County,11,33.0164095,-116.7304845,"Ranks highly in: PM25: 99%, Traffic_Proximity: 99%, Household_Income: 99%"
Miami-Dade County,12,25.5574795,-80.46421014,"Ranks highly in: Building_Loss_Rate: 99%, Diesel_Particulate: 99%, Traffic_Proximity: 99%"
Franklin County,13,44.824236,-72.87446267,"Ranks highly in: Building_Loss_Rate: 99%, Agricultural_Loss_Rate: 99%, Asthma: 99%"
Cuyahoga County,14,41.692556,-81.72993466,"Ranks highly in: Asthma: 99%, PM25: 99%, Household_Income: 99%"
Washington County,15,37.308528,-113.4764242,"Ranks highly in: Agricultural_Loss_Rate: 99%, Asthma: 99%, Building_Loss_Rate: 99%"
Marion County,16,29.2408465,-82.02271906,"Ranks highly in: Household_Income: 99%, Asthma: 99%, Agricultural_Loss_Rate: 99%"
Philadelphia County,17,40.001919,-75.14004034,"Ranks highly in: Asthma: 99%, Household_Income: 99%, PM25: 99%"
Riverside County,18,33.7527135,-116.0202978,"Ranks highly in: PM25: 99%, Household_Income: 98%, Agricultural_Loss_Rate: 98%"
Hamilton County,19,31.7167785,-98.09869292,"Ranks highly in: PM25: 99%, Building_Loss_Rate: 99%, Asthma: 98%"
Jackson County,20,42.499538,-122.7562314,"Ranks highly in: Agricultural_Loss_Rate: 99%, Asthma: 99%, Building_Loss_Rate: 99%"
Allegheny County,21,40.434625,-80.00616065,"Ranks highly in: PM25: 99%, Asthma: 99%, Household_Income: 98%"
Suffolk County,22,40.922431,-72.794992,"Ranks highly in: Diesel_Particulate: 99%, Traffic_Proximity: 99%, Asthma: 99%"
San Bernardino County,23,34.839914,-116.1114081,"Ranks highly in: PM25: 99%, Asthma: 98%, Traffic_Proximity: 98%"
Lake County,24,42.805446,-120.646821,"Ranks highly in: Agricultural_Loss_Rate: 99%, Household_Income: 98%, Building_Loss_Rate: 98%"
Tarrant County,25,32.7701795,-97.29167847,"Ranks highly in: Building_Loss_Rate: 99%, PM25: 98%, Household_Income: 98%"
Bronx County,26,40.851462,-73.83947506,"Ranks highly in: Asthma: 99%, Household_Income: 99%, Diesel_Particulate: 99%"
Hillsborough County,27,42.951585,-71.72018674,"Ranks highly in: Agricultural_Loss_Rate: 99%, Diesel_Particulate: 98%, Building_Loss_Rate: 98%"
Bexar County,28,29.4383755,-98.47195277,"Ranks highly in: Building_Loss_Rate: 99%, PM25: 99%, Household_Income: 98%"
Alameda County,29,37.6826265,-121.9087015,"Ranks highly in: PM25: 99%, Traffic_Proximity: 99%, Household_Income: 98%"
Shelby County,30,31.774629,-94.12707484,"Ranks highly in: Building_Loss_Rate: 99%, PM25: 98%, Asthma: 98%"
Orange County,31,41.3880625,-74.33153374,"Ranks highly in: PM25: 99%, Agricultural_Loss_Rate: 99%, Traffic_Proximity: 99%"
Sacramento County,32,38.377481,-121.2756896,"Ranks highly in: Agricultural_Loss_Rate: 99%, PM25: 98%, Asthma: 98%"
King County,33,47.4321795,-121.9595305,"Ranks highly in: Diesel_Particulate: 99%, Traffic_Proximity: 98%, Asthma: 98%"
Douglas County,34,43.32188,-122.889001,"Ranks highly in: Building_Loss_Rate: 99%, Agricultural_Loss_Rate: 98%, PM25: 97%"
Broward County,35,26.1572365,-80.45498179,"Ranks highly in: Diesel_Particulate: 99%, Traffic_Proximity: 98%, Building_Loss_Rate: 98%"
Oakland County,36,42.6599255,-83.38691142,"Ranks highly in: Asthma: 98%, PM25: 98%, Building_Loss_Rate: 98%"
Monroe County,37,25.10099,-80.73722623,"Ranks highly in: Agricultural_Loss_Rate: 99%, Asthma: 99%, Household_Income: 98%"
Polk County,38,28.002556,-81.7381934,"Ranks highly in: Agricultural_Loss_Rate: 99%, Building_Loss_Rate: 99%, Household_Income: 98%"
Palm Beach County,39,26.6462735,-80.43361048,"Ranks highly in: Building_Loss_Rate: 99%, Diesel_Particulate: 98%, Traffic_Proximity: 98%"
Milwaukee County,40,43.0173495,-87.58071494,"Ranks highly in: Asthma: 98%, Household_Income: 98%, Traffic_Proximity: 98%"
Middlesex County,41,42.4468395,-71.28837633,"Ranks highly in: Agricultural_Loss_Rate: 99%, Traffic_Proximity: 99%, Diesel_Particulate: 99%"
New York County,42,40.7811835,-73.95961228,"Ranks highly in: Diesel_Particulate: 98%, Traffic_Proximity: 98%, Asthma: 97%"
Santa Clara County,43,37.188856,-121.7208772,"Ranks highly in: Traffic_Proximity: 99%, PM25: 98%, Household_Income: 98%"
Erie County,44,42.182385,-80.14065892,"Ranks highly in: Asthma: 99%, Household_Income: 98%, Traffic_Proximity: 97%"
Oklahoma County,45,35.5515265,-97.40747714,"Ranks highly in: Building_Loss_Rate: 98%, Asthma: 98%, Household_Income: 97%"
St. Louis County,46,47.64046,-92.42848564,"Ranks highly in: Building_Loss_Rate: 98%, Diesel_Particulate: 97%, PM25: 97%"
Fulton County,47,36.37455,-91.80360767,"Ranks highly in: PM25: 98%, Household_Income: 97%, Building_Loss_Rate: 97%"
Hennepin County,48,45.014924,-93.48728953,"Ranks highly in: Building_Loss_Rate: 98%, Diesel_Particulate: 97%, Traffic_Proximity: 97%"
Madison County,49,45.2839905,-111.9151342,"Ranks highly in: Agricultural_Loss_Rate: 99%, Building_Loss_Rate: 98%, Asthma: 98%"
El Paso County,50,38.824058,-104.5630645,"Ranks highly in: Building_Loss_Rate: 98%, Agricultural_Loss_Rate: 97%, Household_Income: 97%"
Macomb County,51,42.672301,-82.90139613,"Ranks highly in: Asthma: 98%, PM25: 97%, Building_Loss_Rate: 97%"
Lee County,52,26.5532115,-81.91367325,"Ranks highly in: Agricultural_Loss_Rate: 99%, Building_Loss_Rate: 99%, Household_Income: 97%"
Delaware County,53,42.1826495,-74.95306837,"Ranks highly in: PM25: 97%, Asthma: 97%, Building_Loss_Rate: 97%"
Baltimore city,54,39.2845275,-76.62040905,"Ranks highly in: Asthma: 98%, Household_Income: 98%, Diesel_Particulate: 97%"
Mecklenburg County,55,36.7157155,-78.3335364,"Ranks highly in: PM25: 97%, Diesel_Particulate: 97%, Household_Income: 96%"
Prince George's County,56,38.833389,-76.84243723,"Ranks highly in: Diesel_Particulate: 97%, Household_Income: 97%, Traffic_Proximity: 97%"
Davidson County,57,36.1870535,-86.78086235,"Ranks highly in: Building_Loss_Rate: 98%, Agricultural_Loss_Rate: 96%, PM25: 96%"
Travis County,58,30.3266895,-97.77787875,"Ranks highly in: Building_Loss_Rate: 98%, PM25: 98%, Household_Income: 96%"
Fresno County,59,36.7463335,-119.6363175,"Ranks highly in: PM25: 98%, Agricultural_Loss_Rate: 98%, Asthma: 96%"
Contra Costa County,60,37.909805,-121.9855348,"Ranks highly in: Agricultural_Loss_Rate: 98%, PM25: 98%, Traffic_Proximity: 97%"
Orleans Parish,61,30.0329685,-89.97467248,"Ranks highly in: Building_Loss_Rate: 98%, Diesel_Particulate: 97%, Household_Income: 96%"
District of Columbia,62,38.893581,-76.98771919,"Ranks highly in: Traffic_Proximity: 97%, Diesel_Particulate: 97%, Asthma: 97%"
DeKalb County,63,34.5297905,-85.7231903,"Ranks highly in: PM25: 97%, Agricultural_Loss_Rate: 96%, Household_Income: 96%"
Baltimore County,64,39.438964,-76.63640994,"Ranks highly in: Diesel_Particulate: 97%, Asthma: 96%, Traffic_Proximity: 96%"
Pinellas County,65,27.891491,-82.73863476,"Ranks highly in: Household_Income: 97%, Diesel_Particulate: 97%, Traffic_Proximity: 97%"
Nassau County,66,30.551664,-81.87327766,"Ranks highly in: Diesel_Particulate: 98%, Traffic_Proximity: 98%, Asthma: 95%"
