state,rank,lat,lon,description
Texas,1,31.1688285,-99.68322633,"Ranks highly in: Household_Income: 100%, Building_Loss_Rate: 100%, Agricultural_Loss_Rate: 100%"
California,2,37.264994,-120.0221727,"Ranks highly in: PM25: 100%, Diesel_Particulate: 100%, Traffic_Proximity: 100%"
New York,3,42.748038,-76.21288222,"Ranks highly in: Asthma: 100%, Diesel_Particulate: 98%, Traffic_Proximity: 98%"
Florida,4,27.6969305,-81.55750401,"Ranks highly in: Diesel_Particulate: 94%, Household_Income: 94%, Building_Loss_Rate: 98%"
Pennsylvania,5,41.1181795,-77.7385143,"Ranks highly in: PM25: 96%, Asthma: 96%, Household_Income: 92%"
Illinois,6,39.7396045,-89.45140326,"Ranks highly in: Building_Loss_Rate: 94%, Diesel_Particulate: 92%, PM25: 94%"
Ohio,7,40.3648295,-82.7061421,"Ranks highly in: Asthma: 92%, Building_Loss_Rate: 92%, PM25: 92%"
Michigan,8,45.003405,-84.5075186,"Ranks highly in: Building_Loss_Rate: 89%, Traffic_Proximity: 89%, Asthma: 94%"
North Carolina,9,35.1705155,-78.57679993,"Ranks highly in: Asthma: 85%, Agricultural_Loss_Rate: 96%, Building_Loss_Rate: 90%"
Georgia,10,32.6780835,-83.25169066,"Ranks highly in: Building_Loss_Rate: 85%, Agricultural_Loss_Rate: 92%, PM25: 89%"
Virginia,11,38.003415,-78.22540004,"Ranks highly in: Agricultural_Loss_Rate: 81%, Diesel_Particulate: 81%, Household_Income: 81%"
Indiana,12,39.7650945,-86.17365556,"Ranks highly in: PM25: 78%, Asthma: 81%, Agricultural_Loss_Rate: 80%"
Tennessee,13,35.830544,-86.31725211,"Ranks highly in: Household_Income: 78%, Agricultural_Loss_Rate: 83%, Building_Loss_Rate: 81%"
Missouri,14,38.304241,-92.49224262,"Ranks highly in: Household_Income: 76%, PM25: 74%, Building_Loss_Rate: 74%"
Maryland,15,38.8053545,-76.37118077,"Ranks highly in: Traffic_Proximity: 80%, PM25: 70%, Diesel_Particulate: 83%"
Alabama,16,32.576626,-86.72447716,"Ranks highly in: PM25: 80%, Agricultural_Loss_Rate: 76%, Building_Loss_Rate: 69%"
Louisiana,17,30.93739,-91.63941665,"Ranks highly in: Building_Loss_Rate: 80%, PM25: 72%, Diesel_Particulate: 65%"
Arizona,18,34.1686035,-111.6684351,"Ranks highly in: Diesel_Particulate: 78%, Traffic_Proximity: 74%, Asthma: 80%"
Massachusetts,19,42.037063,-71.41330401,"Ranks highly in: Diesel_Particulate: 69%, Traffic_Proximity: 83%, Asthma: 74%"
Washington,20,47.2736415,-120.6943575,"Ranks highly in: Asthma: 78%, Diesel_Particulate: 76%, Traffic_Proximity: 72%"
Colorado,21,38.997237,-105.5493596,"Ranks highly in: Building_Loss_Rate: 76%, Traffic_Proximity: 67%, Diesel_Particulate: 63%"
Wisconsin,22,44.900725,-89.72077917,"Ranks highly in: Traffic_Proximity: 70%, Asthma: 67%, Household_Income: 70%"
